RSSD ID,Institution Name,Location,20121231,20130331,20130630,20130930,20131231,20140331,20140630,20140930,20141231,20150331,20150630,20150930,20151231,20160331,20160630
1020180,BREMER FINANCIAL CORPORATION,"SAINT PAUL, MN",,,,,,,,,,,"$10,063,759","$10,325,850","$10,723,184","$10,929,047","$11,340,612"
1020902,"FIRST NATIONAL OF NEBRASKA, INC.","OMAHA, NE","$16,409,360","$15,890,934","$15,466,494","$15,977,890","$16,271,487","$16,573,510","$16,754,901","$17,082,710","$17,465,465","$17,163,986","$17,624,149","$17,721,789","$18,346,653","$18,509,333","$18,783,090"
1025309,BANK OF HAWAII CORPORATION,"HONOLULU, HI","$13,789,923","$13,563,474","$13,787,068","$13,916,694","$14,127,598","$14,333,411","$14,884,625","$14,577,913","$14,859,360","$15,206,800","$15,336,181","$15,228,349","$15,501,362","$15,705,449","$15,916,031"
1025608,BANCWEST CORPORATION,"HONOLULU, HI","$79,869,488","$78,851,727","$80,069,917","$81,729,444","$83,527,474","$84,945,155","$86,617,152","$86,894,858","$89,766,710","$89,669,872","$91,200,312","$92,869,993","$95,099,966","$96,194,245",
1025608,"FIRST HAWAIIAN, INC.","HONOLULU, HI",,,,,,,,,,,,,,,"$19,052,593"
1026632,"CHARLES SCHWAB CORPORATION, THE","SAN FRANCISCO, CA","$133,637,000","$133,324,000","$135,907,000","$140,211,000","$143,642,000","$144,066,000","$143,401,000","$147,445,000","$154,642,000","$160,169,000","$163,627,000","$170,402,000","$183,718,000","$190,998,000","$198,052,000"
1027004,ZIONS BANCORPORATION,"SALT LAKE CITY, UT","$55,511,918","$54,110,564","$54,904,540","$55,188,312","$56,031,127","$56,080,844","$55,111,275","$55,458,870","$57,208,874","$57,555,931","$58,365,459","$58,410,927","$59,669,525","$59,179,913","$59,642,992"
1027518,CITY NATIONAL CORPORATION,"LOS ANGELES, CA","$28,618,492","$27,433,754","$27,379,501","$29,059,404","$29,717,951","$29,851,542","$30,819,092","$32,015,600","$32,610,363","$32,698,899","$33,760,498","$35,575,724",,,
1031449,SVB FINANCIAL GROUP,"SANTA CLARA, CA","$22,766,602","$22,802,242","$22,165,054","$23,757,075","$26,417,306","$29,724,778","$33,322,533","$36,044,135","$39,351,768","$38,619,411","$40,244,261","$41,733,585","$44,698,667","$43,597,787","$43,147,945"
1032473,DEUTSCHE BANK TRUST CORPORATION,"NEW YORK, NY","$74,148,000","$75,523,000","$71,992,000","$66,067,000","$66,926,000","$72,603,000","$69,406,000","$60,715,000","$55,541,200","$55,615,500","$58,202,000","$57,375,000","$53,554,000","$53,106,000","$54,629,000"
1036967,CIT GROUP INC.,"LIVINGSTON, NJ","$44,012,251","$44,563,888","$44,631,022","$46,223,981","$47,138,960","$48,578,081","$44,152,666","$46,480,980","$47,879,974","$46,416,005","$46,657,160","$68,125,502","$67,498,790","$67,188,228","$66,783,624"
1037003,M&T; BANK CORPORATION,"BUFFALO, NY","$82,985,468","$82,794,833","$83,229,005","$84,427,485","$85,162,391","$88,530,360","$90,835,002","$97,230,366","$96,687,224","$98,379,397","$97,080,076","$97,797,062","$122,787,884","$124,625,632","$123,820,584"
1039502,JPMORGAN CHASE & CO.,"NEW YORK, NY","$2,359,141,000","$2,389,349,000","$2,439,494,000","$2,463,309,000","$2,415,689,000","$2,476,650,000","$2,519,995,000","$2,526,655,000","$2,572,773,000","$2,577,148,000","$2,447,994,000","$2,417,121,000","$2,351,698,000","$2,423,808,000","$2,466,096,000"
1048773,VALLEY NATIONAL BANCORP,"WAYNE, NJ","$16,012,646","$16,028,703","$15,977,202","$15,976,943","$16,156,541","$16,344,464","$16,335,967","$16,726,410","$18,793,855","$18,980,010","$19,290,005","$19,571,532","$21,612,616","$21,727,523","$21,809,738"
1049341,"COMMERCE BANCSHARES, INC.","KANSAS CITY, MO","$22,176,815","$22,240,695","$21,921,322","$22,462,282","$23,081,892","$22,820,527","$23,016,162","$22,710,961","$24,015,123","$24,060,276","$23,721,613","$23,989,012","$24,625,092","$24,519,161","$24,726,507"
1049828,UMB FINANCIAL CORPORATION,"KANSAS CITY, MO","$14,927,196","$15,705,470","$15,253,217","$16,184,233","$16,911,852","$15,945,830","$15,562,690","$16,284,028","$17,500,960","$16,730,123","$18,418,727","$18,597,965","$19,094,245","$19,302,913","$19,734,076"
